,Land,Stadt,Breite Stadt,Länge Stadt,Anzahl Stadt,GeoData,Latitude,Longitude
1,Belgien,Brüssel,50.851361,4.348583,223.0,"Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België - Belgique - Belgien",50.8436709,4.3674366933879565
2,Belgien,Evere,50.874278,4.402556,1.0,"Evere, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1140, België - Belgique - Belgien",50.8720096,4.4034182
3,Belgien,Biez,50.726778,4.702333,1.0,"Le Biez, Mondeville, Caen, Calvados, Normandie, France métropolitaine, 14120, France",49.1741761,-0.3155
4,Belgien,Céroux-Mousty,50.660361,4.520444,2.0,"Céroux-Mousty, Brabant wallon, Wallonie, 1341, België - Belgique - Belgien",50.6607536,4.5343881
5,Belgien,Waterloo,50.710111,4.402833,6.0,"Waterloo, Iowa, United States of America",42.4979693,-92.3329637
6,Belgien,Region rest,50.851361,4.348583,1.0,"Rest, Hechtel, Hechtel-Eksel, Limburg, Vlaanderen, 3940, België - Belgique - Belgien",51.1221601,5.3727517
7,Belgien,Diest,50.985722,5.053194,1.0,"Diest, Vlaams-Brabant, Vlaanderen, België - Belgique - Belgien",50.98456645,5.052873496255041
8,Belgien,Leuven/ Löwen,50.879111,4.703194,7.0,"Leuven, Martelarenplein, Leuven, Vlaams-Brabant, Vlaanderen, 3000, België - Belgique - Belgien",50.8813454,4.715648
9,Belgien,Tienen,50.807389,4.937083,2.0,"Tienen, Vlaams-Brabant, Vlaanderen, 3300, België - Belgique - Belgien",50.80843175,4.946429213429422
11,Belgien,Grez-Doiceau,50.738194,4.696056,2.0,"Grez-Doiceau, Brabant wallon, Wallonie, 1390, België - Belgique - Belgien",50.7386182,4.6962324
12,Belgien,Nivelles,"50,598044","4,324960",8.0,"Nivelles, Brabant wallon, Wallonie, België - Belgique - Belgien",50.5976885,4.3235854
14,Dänemark,Aalborg,"57,049000",9.920139,1.0,"Aalborg, Aalborg Kommune, Region Nordjylland, 9000, Danmark",57.0482206,9.9193939
17,Deutschland,Mannheim,"49,488361","8,466889",2.0,"Mannheim, Baden-Württemberg, 68161, Deutschland",49.489591,8.467236
18,Deutschland,Bayreuth,"49,943694","11,573194",9.0,"Bayreuth, Bayern, 95444, Deutschland",49.9427202,11.5763079
